placeInfo/name,placeInfo/rating,theme,placeInfo/address,placeInfo/latitude,placeInfo/longitude,placeInfo/webUrl,rating,text,placeInfo/numberOfReviews,lang
الدرعية,4.5, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,district is place where you can have calm and charming dinner.,101,en
الدرعية,4.5, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,district is place where you can have calm and charming dinner.,101,en
Boulevard World,4.6, Theme park,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,"experience, comparable to the world's entertainment areas.",4700,en
Emerald Hall,4.3, Event venue,Dammam Saudi Arabia,26.41187358,50.0904657,,5,"makes it perfect for hosting concerts, recitals, theater performances ...",67,en
Emerald Hall,4.3, Event venue,Dammam Saudi Arabia,26.41187358,50.0904657,,5,"makes it perfect for hosting concerts, recitals, theater performances ...",67,en
Wild Baboons,3.6, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,this location im planning to visit this place. thanks in advance,27,en
Wild Baboons,3.6, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,this location im planning to visit this place. thanks in advance,27,en
Syrup,4.5, Corporate office,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,A go to place for entertainment in Riyadh,406,en
Last Hour Escape Room,4.9, Escape room center,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,A great place if you're looking to have fun in Riyadh!!,1000,en
برج الفيصلية,4.6, Tourist attraction,Riyadh Saudi Arabia · In Tamimi Markets - Olaya,24.72125541,46.67108133,,5,A luxurious place with restaurants and markets,872,en
برج الفيصلية,4.6, Tourist attraction,Riyadh Saudi Arabia · In Tamimi Markets - Olaya,24.72125541,46.67108133,,5,A luxurious place with restaurants and markets,872,en
Woosh,4.2, Recreation center,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,A nice place to spend some time with your kids.,2100,en
Lake park Riyadh,4.4, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,A place away from the hustle and bustle of city.,703,en
Chuck E Cheese's,4.1, ₹₹ ,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,a place where kids can have fun and their parents too!,4300,en
shifa,4.4, Country park,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,A super relaxing place in riyadh,504,en
shifa,4.4, Country park,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,A super relaxing place in riyadh,504,en
Al-Hayer Park Lake,4.5, Park,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,A very nice place for entertainment with family,568,en
Al-Hayer Park Lake,4.5, Park,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,A very nice place for entertainment with family,568,en
Park Zoo in Al-Kharj,3.4, Tourist attraction,Al-Kharj Saudi Arabia,24.15171457,47.32415312,,5,"Al_kharj small Zoo place for children and family entertainment, Lion, ...",1400,en
sparkys,3.8, Amusement park,Riyadh Saudi Arabia · In Panorama Mall,24.72125541,46.67108133,,5,All games working and having Operational technical stuff.,646,en
sparkys,3.8, Amusement park,Riyadh Saudi Arabia · In Panorama Mall,24.72125541,46.67108133,,5,All games working and having Operational technical stuff.,646,en
Maraya,4.6, Concert hall,Al Atheeb Saudi Arabia,26.71888443,37.91707852,,5,Also the theater is another level of perfection.,1100,en
Firstaiment,4, Paintball center,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,amazing and entertaining,1900,en
Kingdom Centre,4.4, Shopping mall,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Amazing place center of Riyadh a kingdom Tower located at olaya rd.,2400,en
حديقة الفوطة,3.7, Park,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Amazing place for entertainment.,6900,en
ALHOKAIR TIME | الحكير تايم,3.8, Amusement center,Al Madinah Al Munawwarah Saudi Arabia,24.45821502,39.59823579,,5,Amusement place for all most especially for kids.,3100,en
البوليفارد الجديد,4.7, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,And very good locations,1500,en
Saffori Land,4, Amusement center,Riyadh Saudi Arabia · In أسواق عبدالله العثيم |Abdullah Alothaim Markets,24.72125541,46.67108133,,5,Awesome place for children entertainment,1600,en
Xtreme Play اكستريم بلاي,4.1, Amusement center,Jeddah Saudi Arabia,21.4973944,39.16131511,,5,"Awesome place… look out for Majed AlGhamdi, he is an awesome ...",93,en
Xtreme Play اكستريم بلاي,4.1, Amusement center,Jeddah Saudi Arabia,21.4973944,39.16131511,,5,"Awesome place… look out for Majed AlGhamdi, he is an awesome ...",93,en
Dhurma,3.8, Garden,Dhurma Saudi Arabia,24.61257291,46.16514556,,5,Beatiful tinny city near Riyadh,142,en
Diriyah,4.4, Tourist attraction,Diriyah Saudi Arabia,24.74969951,46.53795134,,5,Beautiful historical place in a contemporary design for restaurants.,23,en
Naquibs Pond,3.7, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Beautiful place during sunset,26,en
Naquibs Pond,3.7, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Beautiful place during sunset,26,en
Tuwaiq Garden,4.4, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Beautiful place to jog. I enjoyed walking around the place to ...,535,en
Tuwaiq Garden,4.4, Tourist attraction,Riyadh Saudi Arabia,24.72125541,46.67108133,,5,Beautiful place to jog. I enjoyed walking around the place to ...,535,en
