placeInfo/name,id,placeInfo/numberOfReviews,placeInfo/rating,rating,text,lang,placeInfo/address,placeInfo/longitude,placeInfo/latitude,placeInfo/webUrl,placeInfo/website,placeInfo/addressObj/postalcode,subtype,description
Jeddah Tours,20207758,1,5,5,"Loved my trip in Jeddah I have visited the highlights of the city with Mohamed loved the experience loved the floating mosque and walking by Cornish 
Highly recommended",en,"Olya St, Jeddah 33511 Saudi Arabia",39.21154481,21.49994989,https://www.tripadvisor.com/Attraction_Review-g295419-d20207758-Reviews-Jeddah_Tours-Jeddah_Makkah_Province.html,https://saudiarabiatours.net/jeddah-tours/,33511,Multi-day Tours," Explore Jeddah Tours, Jeddah Day Tours, Jeddah Desert Tours & Jeddah City Tours
We offer a wide variety of Jeddah day tours from any location in Jeddah. There are always amazing tours to be enjoyed in Jeddah. We can also customize your tour as you wish to do."
Ahmed,26370281,14,5,5,"Ahmed è una guida straordinaria, riesce a farti sentire a casa… perché Al Balad è stata la sua casa. I racconti della vita vissuta tra quei vicoli, nelle stanze delle case visitate sono parte della sua vita e lui riesce a farti rivivere atmosfere e sapori grazie alla collaborazione dei suoi amici.
Vi consiglio di scoprire le bellezze di Jeddah, la città alta; Jeddah la nonna di tutti; Jeddah la città felice. Grazie Ahmed",it,"Shabib Alasad Street, Jeddah 23452 Saudi Arabia",39.1994,21.59192,https://www.tripadvisor.com/Attraction_Review-g295419-d26370281-Reviews-Ahmed-Jeddah_Makkah_Province.html,https://instagram.com/jeddah_tourguide?igshid=MzNlNGNkZWQ4Mg==,23452,Historical & Heritage Tours," Hello, are you ready to discover Jeddah, then welcome onboard because your tour guide will take you around for unforgettable journey through the heart and soul of the Jeddah city! to see the old houses and experience our culture and tradition starting from historical jeddah then soug(old markets) and test the local food.
call me or whatsapp me through +966503000540"
Riyadh Trips,21246594,409,5,5,"Salman, King of the Edge of the world hosted us impeccably. From pick up to drop off he was the perfect host. We were very lucky with the weather and managed to see the sunset and also experience some rain. Salman directed us to a small cave away from the wind and rain where we could watch the sunset go down. Perfect! Food was warm and tasty afterwards in a cosy tent. Highly recommend the trip, if you can ask for Salman! Thank you. Tony.",en,"king Abdulaziz road, Riyadh 13322 Saudi Arabia",46.66231,24.6679,https://www.tripadvisor.com/Attraction_Review-g293995-d21246594-Reviews-Riyadh_Trips-Riyadh_Riyadh_Province.html,http://www.riyadhtrips.com,13322,Safaris," Riyadh Trips Group is an official A Grade travel agency run by a team of Saudi youth guides.
Letting all people from all over the world experience the popular tours.
Live the Saudi experience of outdoor activities around 
Saudi Arabia."
Jazan tour guide ( Diving guide ),19493707,11,5,5,first of all it was an amazing experience to dive in untouched waters of farsan island situated in the red sea. i would like to thank brilliant and young team of mr yahya kubaisi and other instructors for making this dream possible. the best part is all the lessons and instructions are in english as well as local language.,en,"+966534421343, Jazan 00000 Saudi Arabia",42.54934418,16.89021452,https://www.tripadvisor.com/Attraction_Review-g1074315-d19493707-Reviews-Jazan_tour_guide_Diving_guide-Jazan_Jizan_Province.html,https://www.instagram.com/saeedphotos2,0,Multi-day Tours," We like giving people new experience like diving , photo session or new Adventure and get to know them.
We can't wait to see you and share our experiences with you , and having fun. 

 contact us : +966534421343 "
Falawat tours (Najran Tours),24309352,2,5,5,"​It was fun !​  We had 6-day-tour with ​Falawat (Najran) tours​​

They arranged 4 SUV cars for us. 4 of us (excluding the driver) sat together in each car. You can swap the car and buddies every day.

4 drivers communicated with digital 2 way radios equipped in each car so every car would be on the same track.

Mohammed is knowledgeable and very calm.
When we came across some issues, he still stayed calm and did his best to fix them.

The accommodation they chose in Alula is amazing. “Sh​alal​ resort” 
You might not be able to find lots of information about the property but he should choose it if you book a tour with him.
I don’t think breakfast will be served if you book the resort by yourself. Mohammed and his team prepared a very nice breakfast for all of us as all meals were supposed to be included. 
The breakfast is one of the highlights of the tour.

It was a small group tour. His team looked after us very well.",en,"King Fahad St, Najran 66234 Saudi Arabia",44.22581389,17.5680883,https://www.tripadvisor.com/Attraction_Review-g21105789-d24309352-Reviews-Falawat_tours_Najran_Tours-Najran.html,http://www.najrantours.com,66234,Multi-day Tours," We offer cultural, historical and exploration experiences in Saudi cities, deserts, mountains and islands. We take groups on excursions in modern SUVs / buses with well experienced drivers. During trips we can provide camps, meals, hotel rooms, museums tickets, boats and experienced tour guides for our customers."
Edge of the World,25428158,5,5,5,"مكان رائع يستحق الزيارة مع العائلة والأصدقاء وبمفردك لاتفوتك التجربه. مكان ومنظر جميل مع غروب الشمس سوف ترى منظراً جميلاً لا يمكن ان تراه في اي منطقة في العالم",ar,Riyadh 00966 Saudi Arabia,46.214108,24.988186,https://www.tripadvisor.com/Attraction_Review-g293995-d25428158-Reviews-Edge_of_the_World-Riyadh_Riyadh_Province.html,http://www.riyadhtracks.com,966,Air Tours,". Tours to the edge of the world and a resort for relaxation and overnight stay Tours to the red sand dunes Tours to the heritage villages, the National Museum, Al-Diriyah and Al-Masmak"
Travel Asia Experiences,20204374,1,1,1,"There was an issue with my booking, it was my birthday, i was waiting with my mum, it took over an hour to get this sorted. 
It was chaos, no body knew what was going on.
During the trip, the driver took a while to come out of his shell, he was nice and polite. For the money i spent i know i could get this for half the price.",en,"11/F, No.1, Songzhi Rd., Xinyi Dist., Taipei City., Medina 11047 Saudi Arabia",39.62211707,24.46477778,https://www.tripadvisor.com/Attraction_Review-g298551-d20204374-Reviews-Travel_Asia_Experiences-Medina_Al_Madinah_Province.html,https://www.travelyamu.com,11047,Multi-day Tours,": Remember the last time you tell a friend about your latest trip? Probably its not about the hotels you stayed or the plane you took of with. Its all about the experience you had. You decide to go to a trip but you don’t know what to do? Then welcome to Travel Asia Experiences! Planning your trip is easier now. Book your, tours , activities ,transfers in seconds for a great travel experience"
Firstaiment,1998260,42,4,5,"Awesome and unforgettable night. We cant stop talking about it. First time for all of us, amazing night. We bought 100 bullets but we thought thats not enough. Easy to locate. Accomodating staff.  We wore clothes for the game. Helmet is uncomfortable but its understandable. They guy who instructed us how to play is accomodating especially with taking pictures. We had our own sweet time taking pictures. We will come back again",en,"2nd Roundabout, Thumama Althumamh, Riyadh Saudi Arabia",46.78131,24.848957,https://www.tripadvisor.com/Attraction_Review-g293995-d1998260-Reviews-Firstaiment-Riyadh_Riyadh_Province.html,http://www.firstaiment.com,,Game & Entertainment Centers,"1St Entertainment Co Brings you the first Paintball in Riyadh 1st PAINTBALL is a combination combat play and survival hunting game. However, instead of hunting animals with guns, people shoot at each other with gun that shoot balls of paint Get Your Gear On... Its Paint War Time call before you show up. Group bookings are welcome for boys and men only. Women are not allowed on site. We sincerely regret the inconvenience."
Desert Designs,3223725,73,4.5,4,"At the outset, I can summarize this business: “the unique, family-run interior design studio, home décor gift shop, and art gallery, that is dedicated to Saudi culture and Islamic design.” It is packed with furniture, paintings, sculptures, and arts and crafts of all sorts. For people interested in collecting antiques, souvenirs, Arabian decorative items, jewelry, earrings, rings, carpets, seating, and many ethnic items. All products are curated [selected, organized, and presented using professional or expert knowledge] to be of the highest quality. It is a heritage store or like museum. Briefly, I can say that it is a treasure trove of authentic Saudi artisanship showcasing the beautiful cultural heritage of Saudi Arabia. From its opening in 1990, it has grown manifold.",en,"King Abdullah Street Akrabiya, Al Khobar 31952 Saudi Arabia",50.196404,26.284864,https://www.tripadvisor.com/Attraction_Review-g298545-d3223725-Reviews-Desert_Designs-Al_Khobar_Eastern_Province.html,http://www.desertdesigns.com/index.php,31952,Historical Markets,"A family run business since 1990, Desert Designs has grown manifold from the store opened in a desert tent, to its flagship storefront on King Abdullah Street in Al Khobar, Saudi Arabia. Come Visit Us and browse our vast collection of personally curated products, ranging from tribal Bedouin arts brought especially for you from the desert, to modern executive gifts always created keeping the heritage of Islamic design in the forefront. Artists and Artisans are both given equal importance at Desert Designs. Host to its own contemporary art gallery, we continue to provide a platform for both upcoming and known local artists. And then there is Cafea Arab, offering gourmet coffees and teas both hot and cold, to complete your ultimate shopping experience. OUR MISSION Create and promote culture, art, heritage and design through our space, products and services. OUR VISION Inspiring cultural value within your lifestyle. BRAND PROMISE Fusing Culture and Design."
Souq Okaz,10020478,26,4,3,"De passage sur Taif, j'ai voulu aller au souk Okaz. Personne n’était capable de me donner les horaires d'ouverture. J'y suis donc aller mais quelle déception. C'est ouvert que l'été. Sinon cela me parait beau.",fr,"40 km form Taif City, Taif Saudi Arabia",40.446964,21.400433,https://www.tripadvisor.com/Attraction_Review-g298553-d10020478-Reviews-Souq_Okaz-Taif_Makkah_Province.html,http://sauditourism.sa/en/Events/Pages/Okaz.aspx,,Cultural Events,"A former largest and best known open air market in the islamic world, nowadays hosts thousands of tourists from around the world. The tradition of poetry recital competitions, arts& crafts exhibitions remain in the souq today. In addition to that, you may want to explore ancient footprints of the market, flower orchids in Taif and modern theatre productions in the Festival centre."
