placeInfo/address,theme,city,imageUrl,placeInfo/latitude,placeInfo/longitude,placeInfo/id,placeInfo/numberOfReviews,rating,lang,text,placeInfo/name,placeInfo/rating,placeInfo/webUrl
"7295 King Faisal Rd، 3205, Al Bujairi, Ad Diriyah, Riyadh 13711, Saudi Arabia",Restaurant,Riyadh,https://lh5.googleusercontent.com/p/AF1QipO__QhUOTrHDg35mdzi5QArEs6pQYwh4HLD6Gqj=w408-h259-k-no,24.7366376,46.5748178,ChIJnRGb1q3hLj4RSvLwsggu8wA,1172,1,ar,"- سيتم طلب "" ترحيلكم "" من المكان فور الدفع بطريقة غير لائقة ومن دون ادنى مراعاه لاحترام الزبون. للاسف هذا ملاحظ عند فتح فرع من خارج المملكة إلى المملكة لا يتم احضار معايير الجودة من البلد الأصل ويكون الشبه بين الأصل و الفرع مجرد الاسم.

Answering the below reply, unfortunately this is an approach that is done with an excuse of the place is crowded which not any way acceptable. Yes I am reachable but it should be better to provide your contact information so people can easily reach to you for comment and suggestion and mistreatment if any. I think what I wrote is faced by many, my recommendation as an expert in customer journey is not to care about comment but to fix what is actually happening which the purpose of the comment. People writing here to highlight the unseen situations and my job is to zoom into that so this can actually level up to customer expection.",Flamingo Room by tashas Riyadh,4.3,https://www.google.com/maps/search/?api=1&query=Flamingo%20Room%20by%20tashas%20Riyadh&query_place_id=ChIJnRGb1q3hLj4RSvLwsggu8wA
"Sharaa aam, Al'awayshah, Tabuk 47911, Saudi Arabia",Restaurant,Tabuk,https://lh5.googleusercontent.com/p/AF1QipM5Qmmgv93WlrheoOjvrK0nSEG2tdrRi--jKq67=w426-h240-k-no,28.3855136,36.5611352,ChIJj9Ner5WtqRURLcWtJO7u_AE,44,3,en,"*3/5 stars*

I recently visited this hotel and had a mixed experience. The atmosphere and ambience were pleasant and welcoming, and the service was good. However, the rates were quite high, which I felt was not entirely justified by the quality of food.

I ordered the chicken jalfrezi and shahi daal, both of which were unfortunately very average in taste. The dishes lacked a wow factor and were quite normal, which was disappointing considering the high prices.

Overall, while the hotel's atmosphere and service were good, the high rates and average food quality left me feeling slightly underwhelmed. Perhaps with a few improvements in the culinary department, this hotel could live up to its full potential.

*Pros:*

- Good atmosphere and ambience
- Friendly and efficient service
- Clean and comfortable surroundings

*Cons:*

- High rates
- Average food quality
- Limited value for money

*Recommendation:*

This hotel has potential, but needs to work on its food quality and pricing strategy to justify the high rates. If you're looking for a comfortable stay and don't mind average food, this might be a decent option. However, if you're a foodie or on a budget, you might want to explore other options.",Ravi Pakistani hotel مطعم شهي الجاده,4.5,https://www.google.com/maps/search/?api=1&query=Ravi%20Pakistani%20hotel%20%D9%85%D8%B7%D8%B9%D9%85%20%D8%B4%D9%87%D9%8A%20%D8%A7%D9%84%D8%AC%D8%A7%D8%AF%D9%87&query_place_id=ChIJj9Ner5WtqRURLcWtJO7u_AE
"طريق الامير سلطان بن عبدالعزيز, Al Salam, Tabuk 47311, Saudi Arabia",Indian restaurant,Tabuk,https://lh5.googleusercontent.com/p/AF1QipMBHdluztrynUmSlZTEXeZ7bnfKmj1sa1SrvP54=w408-h306-k-no,28.4058408,36.5960065,ChIJx8Leb8CtqRURMZ9XDh9P9mc,2719,5,ar,",ممتاز علي جميع الاصعده
وخاصة مجي الدين الأسلام",Biryani House,4.1,https://www.google.com/maps/search/?api=1&query=Biryani%20House&query_place_id=ChIJx8Leb8CtqRURMZ9XDh9P9mc
"F5VJ+V9P, Hamzah Shehatah, Al-Baghdadiyah Al-Gharbiyah, Jeddah 22232, Saudi Arabia",Indian restaurant,Jeddah,https://lh5.googleusercontent.com/p/AF1QipOCSA9x7ZkDofGEb_4fUavDsHuooso6H8v0EQ=w408-h725-k-no,21.4946443,39.180943,ChIJA9l78NnPwxUR-7voEK3bMOo,254,1,in,15 km ka sfar kr k Aya briyani khany or vo b chikan 50% kacha,Grand Sapphire,4.1,https://www.google.com/maps/search/?api=1&query=Grand%20Sapphire&query_place_id=ChIJA9l78NnPwxUR-7voEK3bMOo
"North next to Al Nawras Square, Al Kurnaysh Br Rd, Ash Shati, Jeddah 21424, Saudi Arabia",Japanese restaurant,Jeddah,https://lh5.googleusercontent.com/p/AF1QipOHjeaQ4GmL0zxPgmmwWoDahSp-9bNvkgX4X3K-=w408-h306-k-no,21.5881873,39.1058281,ChIJg-yxeGnbwxURKTjm4rUBnlE,898,5,en,"‏“This is the best Japanese restaurant in Jeddah! The food was absolutely delicious, the view was breathtaking, and the staff were incredibly friendly.
The Chicken Anticucho was a 10/10 ⭐️!”",Nobu Jeddah,4,https://www.google.com/maps/search/?api=1&query=Nobu%20Jeddah&query_place_id=ChIJg-yxeGnbwxURKTjm4rUBnlE
"King Fahd Rd, As Sahafah, Riyadh 13315, Saudi Arabia",Restaurant,Riyadh,https://lh5.googleusercontent.com/p/AF1QipN2WbL4jGCnCtcVsjAQiSfnWP5FJwb0-QKkX_p5=w408-h544-k-no,24.7922566,46.6323629,ChIJ38Wo2hLjLj4RhUcLtntN-mg,114,5,en,"Absolutely phenomenal steak, really great service, all cooked to perfection!",JW Steakhouse,4.6,https://www.google.com/maps/search/?api=1&query=JW%20Steakhouse&query_place_id=ChIJ38Wo2hLjLj4RhUcLtntN-mg
"RDC Hotel & Convention، Crowne Plaza, Riyadh Saudi Arabia",Brazilian restaurant,Riyadh,https://lh5.googleusercontent.com/p/AF1QipO_iCxQksYA4-L9B748J5873NzN6PWsZGZ9pDEG=w426-h240-k-no,24.7390002,46.6352375,ChIJbVXoL2njLj4RGNPD5v_Tgd0,2881,5,in,"Ajeet
Awesome service
Splendid hospitality
All the dishes served were awesome and tasty
Chef Salman and Ishrar are awesome",Wildfire Brazilian Steakhouse وايلدفاير,4.7,https://www.google.com/maps/search/?api=1&query=Wildfire%20Brazilian%20Steakhouse%20%D9%88%D8%A7%D9%8A%D9%84%D8%AF%D9%81%D8%A7%D9%8A%D8%B1&query_place_id=ChIJbVXoL2njLj4RGNPD5v_Tgd0
"Tahlia St, Al Olaya, Prince Muhammad Ibn Abd Al Aziz, Riyadh Saudi Arabia",Middle Eastern restaurant,Riyadh,https://lh5.googleusercontent.com/p/AF1QipPg15muwDP85LQijf-hcLP58FElqeAf1_D5OTEn=w426-h240-k-no,24.6990753,46.6890282,ChIJ4xI-X-cDLz4RC_lr-5HlROY,1893,5,en,amazing and tasty food. amazing service especially JL. Totally recommend.,"Operation Falafel, Tahlia Street",4.8,https://www.google.com/maps/search/?api=1&query=Operation%20Falafel%2C%20Tahlia%20Street&query_place_id=ChIJ4xI-X-cDLz4RC_lr-5HlROY
"بجانب بنك ساب, Sari Br Rd, As Salamah, Jeddah 23436, Saudi Arabia",Chinese restaurant,Jeddah,https://lh5.googleusercontent.com/p/AF1QipMCPf-mP6nahJFLHEIWyxt64UKaI_FoOlCFmqJT=w426-h240-k-no,21.578646,39.155614,ChIJh4CWYHjQwxURQ-bwhoCnT-E,5582,5,en,"Amazing food, the best Chinese cuisine I’ve ever had in my entire life.
افضل اكل صيني اكلته في حياتي روعه روعه روعه",Baytoti,4.4,https://www.google.com/maps/search/?api=1&query=Baytoti&query_place_id=ChIJh4CWYHjQwxURQ-bwhoCnT-E
"Le prestige mall, 3683 King Abdul Aziz Rd, Ash Shati, 8322 3683, Saudi Arabia Jeddah SA, Jeddah 21563, Saudi Arabia",Italian restaurant,Jeddah,https://lh5.googleusercontent.com/p/AF1QipOfhMgp6S-DRkW47va77-zmHBbC9kcpr8DqHitl=w425-h240-k-no,21.5644113,39.1253209,ChIJV7wevRnbwxURQWC7hzgGEd8,1726,5,en,Amazing Italian pizzeria hats off to the chef 🎩 light fresh and filling 👌🏽😋,L'Antica Pizzeria Da Michele - بيتزاريا دي ميكيليه,4.1,https://www.google.com/maps/search/?api=1&query=L'Antica%20Pizzeria%20Da%20Michele%20-%20%D8%A8%D9%8A%D8%AA%D8%B2%D8%A7%D8%B1%D9%8A%D8%A7%20%D8%AF%D9%8A%20%D9%85%D9%8A%D9%83%D9%8A%D9%84%D9%8A%D9%87&query_place_id=ChIJV7wevRnbwxURQWC7hzgGEd8
