placeInfo/address,theme,city,imageUrl,placeInfo/latitude,placeInfo/longitude,placeInfo/id,placeInfo/numberOfReviews,rating,lang,text,placeInfo/name,placeInfo/rating,placeInfo/webUrl
"Salaheddin al ayoubi street, Al Rawabi, Al Khobar 34421, Saudi Arabia",Beauty salon,Al Khobar,https://lh5.googleusercontent.com/p/AF1QipN1C_8lEq4uvCMvo6OcT0rjn4yDuw154LmYKhE=w426-h240-k-no,26.3265552,50.2129813,ChIJXQZTa-_oST4R0b4mJ_sBH3g,415,5,en,Best salon in town! I highly recommend zainab for wavy. For treatments don’t hesitate to book with Jessica she’s the best.,AURA,4.2,https://www.google.com/maps/search/?api=1&query=AURA&query_place_id=ChIJXQZTa-_oST4R0b4mJ_sBH3g
"Salaheddin al ayoubi street, Al Rawabi, Al Khobar 34421, Saudi Arabia",Beauty salon,Al Khobar,https://lh5.googleusercontent.com/p/AF1QipN1C_8lEq4uvCMvo6OcT0rjn4yDuw154LmYKhE=w426-h240-k-no,26.3265552,50.2129813,ChIJXQZTa-_oST4R0b4mJ_sBH3g,415,5,en,Best salon in town! I highly recommend zainab for wavy. For treatments don’t hesitate to book with Jessica she’s the best.,AURA,4.2,https://www.google.com/maps/search/?api=1&query=AURA&query_place_id=ChIJXQZTa-_oST4R0b4mJ_sBH3g
"Al-Rehab, Jeddah 23345, Saudi Arabia",Beauty salon,Jeddah,https://lh5.googleusercontent.com/p/AF1QipPp9i27EPo_T1HlRUsa9bmr41yGun8NL8pI87Gg=w408-h408-k-no,21.5564375,39.2209375,ChIJt0MpWc3RwxURUaPeBYNlSpg,181,5,en,Best salon service in Saudi Arabia Jeddah.most stylish hair cut and.very good behaviour for all customers.all services are very very good..i am so satisfied..,Pink Touch Salon,3.6,https://www.google.com/maps/search/?api=1&query=Pink%20Touch%20Salon&query_place_id=ChIJt0MpWc3RwxURUaPeBYNlSpg
"Al-Rehab, Jeddah 23345, Saudi Arabia",Beauty salon,Jeddah,https://lh5.googleusercontent.com/p/AF1QipPp9i27EPo_T1HlRUsa9bmr41yGun8NL8pI87Gg=w408-h408-k-no,21.5564375,39.2209375,ChIJt0MpWc3RwxURUaPeBYNlSpg,181,5,en,Best salon service in Saudi Arabia Jeddah.most stylish hair cut and.very good behaviour for all customers.all services are very very good..i am so satisfied..,Pink Touch Salon,3.6,https://www.google.com/maps/search/?api=1&query=Pink%20Touch%20Salon&query_place_id=ChIJt0MpWc3RwxURUaPeBYNlSpg
"Building 30, 2nd Floor, king khalid road, Riyadh 12329, Saudi Arabia",Nail salon,Riyadh,https://lh5.googleusercontent.com/p/AF1QipMfiAIFMfXUTNsyWns2F3PGn4OCoR057OdOSb8e=w408-h544-k-no,24.6901209,46.6341863,ChIJkZ0nEwgdLz4RcR0aP4z5V1s,1184,5,en,"Everything was perfect!! The place is stunning, the customer service was so helping in finding me a reservation, the receptionist was so sweet and helpful, the staff was incredible friendly and warm!! I absolutely loved my nails💕💕 what an incredible first visit.. For sure it will be my new favorite nails spa.",Mellow Nail Artistry,4.5,https://www.google.com/maps/search/?api=1&query=Mellow%20Nail%20Artistry&query_place_id=ChIJkZ0nEwgdLz4RcR0aP4z5V1s
"Building 30, 2nd Floor, king khalid road, Riyadh 12329, Saudi Arabia",Nail salon,Riyadh,https://lh5.googleusercontent.com/p/AF1QipMfiAIFMfXUTNsyWns2F3PGn4OCoR057OdOSb8e=w408-h544-k-no,24.6901209,46.6341863,ChIJkZ0nEwgdLz4RcR0aP4z5V1s,1184,5,en,"Everything was perfect!! The place is stunning, the customer service was so helping in finding me a reservation, the receptionist was so sweet and helpful, the staff was incredible friendly and warm!! I absolutely loved my nails💕💕 what an incredible first visit.. For sure it will be my new favorite nails spa.",Mellow Nail Artistry,4.5,https://www.google.com/maps/search/?api=1&query=Mellow%20Nail%20Artistry&query_place_id=ChIJkZ0nEwgdLz4RcR0aP4z5V1s
"2212 جنادة بن ابي امية, 6868, حي المحمدية, Jeddah 23625, Saudi Arabia",Beauty salon,Jeddah,https://lh5.googleusercontent.com/p/AF1QipNaCDkh1JRzHzNvC2lQUBIMt6VMJlfiHCXshLns=w408-h270-k-no,21.6595717,39.1232133,ChIJT89crbzZwxURN4YtMzUst88,635,5,en,"Excellent hair coloring service . They understand exactly what you want and their hair experts Suhair and Ghadeer are brilliant with their job .
A bit pricey but worth the service .",BOUTHAINA Salon & Spa (Mohamadya),3.9,https://www.google.com/maps/search/?api=1&query=BOUTHAINA%20Salon%20%26%20Spa%20(Mohamadya)%D8%A8%D8%AB%D9%8A%D9%86%D8%A9%20%D9%85%D8%AD%D9%85%D8%AF%D9%8A%D8%A9&query_place_id=ChIJT89crbzZwxURN4YtMzUst88
"2212 جنادة بن ابي امية, 6868, حي المحمدية, Jeddah 23625, Saudi Arabia",Beauty salon,Jeddah,https://lh5.googleusercontent.com/p/AF1QipNaCDkh1JRzHzNvC2lQUBIMt6VMJlfiHCXshLns=w408-h270-k-no,21.6595717,39.1232133,ChIJT89crbzZwxURN4YtMzUst88,635,5,en,"Excellent hair coloring service . They understand exactly what you want and their hair experts Suhair and Ghadeer are brilliant with their job .
A bit pricey but worth the service .",BOUTHAINA Salon & Spa (Mohamadya),3.9,https://www.google.com/maps/search/?api=1&query=BOUTHAINA%20Salon%20%26%20Spa%20(Mohamadya)%D8%A8%D8%AB%D9%8A%D9%86%D8%A9%20%D9%85%D8%AD%D9%85%D8%AF%D9%8A%D8%A9&query_place_id=ChIJT89crbzZwxURN4YtMzUst88
"Al-Rehab، الأدباء،, Jeddah 22233, Saudi Arabia",Beauty salon,Jeddah,https://lh5.googleusercontent.com/p/AF1QipPhrkEE8L2GOr0Dw64oe00y-2xATiWfTWLAIQsU=w408-h306-k-no,21.5582003,39.2048883,ChIJYcukuAjRwxURiFUSR3ST7xk,46,5,en,"Excellent service. Went for a haircut,facial and threading! Super happy with everything that i got done. 10/10. Would definitely recommend and will definitely come back again! Thank you!",Rana Beauty Center (Seema Senior Beautician),4.5,https://www.google.com/maps/search/?api=1&query=Rana%20Beauty%20Center%20(Seema%20Senior%20Beautician)&query_place_id=ChIJYcukuAjRwxURiFUSR3ST7xk
"Al-Rehab، الأدباء،, Jeddah 22233, Saudi Arabia",Beauty salon,Jeddah,https://lh5.googleusercontent.com/p/AF1QipPhrkEE8L2GOr0Dw64oe00y-2xATiWfTWLAIQsU=w408-h306-k-no,21.5582003,39.2048883,ChIJYcukuAjRwxURiFUSR3ST7xk,46,5,en,"Excellent service. Went for a haircut,facial and threading! Super happy with everything that i got done. 10/10. Would definitely recommend and will definitely come back again! Thank you!",Rana Beauty Center (Seema Senior Beautician),4.5,https://www.google.com/maps/search/?api=1&query=Rana%20Beauty%20Center%20(Seema%20Senior%20Beautician)&query_place_id=ChIJYcukuAjRwxURiFUSR3ST7xk
