name,placeRating,theme,address,latitude,longitude,webUrl,textRating,text,numberOfReviews,lang,placeID,website,city,imageUrl,description,text_sentiment,subtype
Quba Mosque,5.0,Religious Sites,"3967 Al-Hijra Branch Road, Al-Khatim, Medina 42318",24.43979,39.61726,https://www.tripadvisor.com/ShowUserReviews-g298551-d2649200-r147043730-Masjid_Quba-Medina_Al_Madinah_Province.html,5.0,Very close and salat in Quba mosque equal to Omarh hassanat. Very good to visited it after breakfast. ,960,en,2649200,,,,,positive,Religious Sites
Country,4.5,Points of Interest & Landmarks,Jeddah 22233 Saudi Arabia,21.481157,39.187298,https://www.tripadvisor.com/Attraction_Review-g295419-d319501-Reviews-Al_Balad-Jeddah_Makkah_Province.html,4.0,"Expectations were high. The place is certainly distinctive, interesting and worth visiting. But my impression is mostly such a large market or a concentration of small shops grouped thematically. Like gold rows, lots of them. Spices, souvenirs, traditional Ytp clothing. Of course, it's all against the backdrop of ancient buildings and lots of cats.",1104,en,319501,,,,"Reminiscent of the Arabian nights fairytales, this vibrant marketplace with multi-storied mud brick and stone buildings sells everything from textiles and sparkling silver and gold ornaments to spices and honey.",positive,Points of Interest & Landmarks
King Fahd's Fountain,4.5,Fountains,Jeddah Saudi Arabia,21.515656,39.14505,https://www.tripadvisor.com/Attraction_Review-g295419-d319519-Reviews-King_Fahd_s_Fountain-Jeddah_Makkah_Province.html,4.0,"Kind Fahds fountain is located off shore, midway on the corniche, in the Al Hamra district. 
You can’t miss it and its immensely high jet of water is impressive both through the day and at night.
The fountain is named after King Fahd bin Abdulaziz who ruled Saudi Arabia from 1982 until 2005.
It’s a nice addition to your stroll along this section of the corniche and provides a good photo opportunity.",1254,en,319519,https://www.visitsaudi.com/en/do/family-activities/visit-king-fahd-s-fountain,,,"This 853-foot fountain is reputed to be the tallest fountain in the world, and is best appreciated when illuminated at night.",positive,Points of Interest & Landmarks
Kingdom Centre Tower,4.5,Architectural Buildings,"King Fahad Road, Riyadh 11321 Saudi Arabia",24.731178,46.670082,https://www.tripadvisor.com/Attraction_Review-g293995-d675824-Reviews-Kingdom_Centre_Tower-Riyadh_Riyadh_Province.html,5.0,"A crazy building, not the tallest, but with the most beautiful in the Arab world. More details in ""SAUDI ARABIA - Notes on a trip in autumn 2024"". This travelogue of the solo author over two months in Saudi Arabia will be published in April 2025 as print and e-book",1922,en,675824,https://kingdomcentre.com.sa/,,,,positive,Points of Interest & Landmarks
Al Masjid Required,5.0,Sacred & Religious Sites,"King Abdul Aziz Rd Central Madina, Medina 42311 Saudi Arabia",24.467182,39.61115,https://www.tripadvisor.com/Attraction_Review-g298551-d319516-Reviews-Al_Masjid_an_Nabawi-Medina_Al_Madinah_Province.html,5.0,"Please see my other page on Makkah for tips and my review.

We travelled by high speed train from Makkah to Medinah – covering the distance in just over 2 hours with one stop in Jeddah. 

Stayed at the Sofitel which is the closest to the women’s entrance gate 25 (about 5 minutes walk).

Compared to Makkah, Medinah was so organised and quiet, managed to pray inside the prophet’s mosque with no hassle, plenty of chairs for those that can’t sit down and water barrels all over to take a drink of Zamzam water.

Now for some key points to arm yourselves with.

•	Praying at namaz times is easy to navigate and inside and you can get there at Azaan time and still get a space
•	For men, you can walk past the prophet tomb with no booking required. Entrance is close to the south entrances and signposted. Be prepared to queue but lines are kept moving by security
•	Rawdah – to pray in Noble Rawdah, you have to book on the Nusk app as this is required to reduce overcrowding. This is mandatory and QR code on the app will be scanned. You get a choice of times and arrive about 20 minutes before as you will need to queue. If you arrive too early, you will be turned away.
•	Jannatul Baqi graveyard – no booking needed and there is a path going through which is moving one way. Again lines are kept moving. Entrance is by south west part of mosque by the Lost Children centre.
•	ZamZam water – you can take back home one 5l water which you collect from Jeddah airport or Medinah airport.  Just show your passport at the dedicated section outside of departures to collect the bottle. Note, you should only take the water from the airport as these are packaged for air travel. You can’t open them until you reach your destination. Another note, if you are flying straight home, then the water is not counted as part of your luggage. However, if you decide to do a stopover on your way home (so going to Dubai and then back home), the water on you final flight back is counted with your luggage so bear in mind the total weight

Overall a great trip and an experience to be able to visit these two beautiful places. However, slightly let down by the overzealous guards in Makkah and the inconsiderate people who think it is a race to do Tawaf around the Kaaba – we even saw one man taking a business call whilst walking around, seriously, some people have no understanding of why there are there.",2378,en,319516,http://wmn.gov.sa,,,Masjid Nabawi is one of the most important landmarks in the history of Islam. Visiting this larger than life landmark is a dream for the Muslims around the world.,positive,Religious Sites
Jeddah Flagpole,4.0,Points of Interest & Landmarks,"Jeddah Square, Jeddah 22237 Saudi Arabia",21.48658,39.19553,https://www.tripadvisor.com/Attraction_Review-g295419-d7208956-Reviews-Jeddah_Flagpole-Jeddah_Makkah_Province.html,2.0,"As some other posters have mentioned it seems completely hit and miss whether there is a flag on this pole or not.
We were in Jeddah for three days and the flag never appeared while we were there so have to rate it as non event.
I'm sure it's nice if you visit and the flag is flying but if not then a waste of time.",515,en,7208956,,,,,negative,Points of Interest & Landmarks
Al Qiblatayn Mosque,5.0,Religious Sites,"Al Qiblatayn, Medina 42312 Saudi Arabia",24.48416,39.57877,https://www.tripadvisor.com/Attraction_Review-g298551-d2649199-Reviews-Masjid_Al_Qiblatayn-Medina_Al_Madinah_Province.html,5.0,مسجد القبلتين في المدينة المنورة.. معلم إسلامي و آثر  تاريخي قديم . يقع في المدينة المنورة شمال المسجد النبوي الشريف. و يعد ضمن المساجد التاريخية الكبرى ,482,ar,2649199,,,,,positive,Religious Sites
Strike Bowling Alley,5.0,Bowling Alleys,"Mekkah Road AlHada Area, The Ritz Carlton, Riyadh Saudi Arabia",24.665754,46.63021,https://www.tripadvisor.com/Attraction_Review-g293995-d8745836-Reviews-Strike_Bowling_Alley-Riyadh_Riyadh_Province.html,5.0,"Bowling alley is very nice with good food and great people - Giorgi, Eduardo are very helpful. Also they have nice other equipments, such as ping pong, table pooling, PS4, etc.",446,en,8745836,http://www.ritzcarlton.com/en/Properties/Riyadh/Dining/Strike_Bowling_Alley/Default.htm,,,"Treat yourself to a fun, active night out at Strike Bowling Alley, the family-friendly, high end sports lounge at The Ritz-Carlton, Riyadh. There is something for everyone at Strike Bowling Alley, which offers a variety of entertainment options including billiards, bowling, and watching sports on an impressive 100â TV. Dine on American bar food favorites, shared platters and finger foods while listening to a selection of the latest hits",positive,Entertainment
Al Rahma Mosque,4.0,Religious Sites,"6826 Corniche Rd, Jeddah 23613 Saudi Arabia",21.648565,39.10089,https://www.tripadvisor.com/Attraction_Review-g295419-d319513-Reviews-Al_Rahma_Mosque-Jeddah_Makkah_Province.html,3.0,"The mosque was beautiful above the water , it is totally different from the mosque that we have been . But the weather is a way too hot.  We went around 5pm , still burning hot by walking there,   you will easily get heat stroke  by staying under the sun for a while.   We could only stayed there for 20 minutes and ran away from it.  But have to say the view and structure was fabulous  ! Would recommend go after 6 or 7 pm during sunset time , would be more beautiful  and cooler.",432,en,319513,,,,This beautiful white mosque seems to emerge from the sea.,neutral,Religious Sites
Al-Rashid Mall,4.0,Shopping Malls,"Firas Ibn an Nadr Street, Al Khobar Saudi Arabia",26.290854,50.180557,https://www.tripadvisor.com/Attraction_Review-g298545-d4600507-Reviews-Al_Rashid_Mall-Al_Khobar_Eastern_Province.html,5.0,Amazing Mall. You can really buy everything. Apart from fashion and watches there is a supermarket inside. The staff really nice if don't find something can ask any security people and they help. Kiosks with shop maps not updated.(Maybe because of lot of renovation was in progress by the time I was in.)Highly recommend to go in.,416,en,4600507,http://www.rashidmall.com,,,,positive,Shopping
